"country","gdp_per_capita","life_expectancy","infant_mortality","literacy_rate","internet_users","electricity_access","urban_population","health_expenditure","education_expenditure","unemployment_rate","gini_coefficient","region","income_group","year"
"Egypt, Arab Rep.",3827.35415374308,68.976,22.2,82.0803858167894,72.05599976,100,42.5686062621468,4.60955143,NA,7.441,28.5,"Middle East, North Africa, Afghanistan & Pakistan","Lower middle income",2021
"El Salvador",4642.60743101342,69.941,9.8,89.0586486323527,57.26380157,97.9,73.6838531494141,10.12668991,3.57766008377075,4.327,39,"Latin America & Caribbean","Upper middle income",2021
"Equatorial Guinea",6945.63069794539,62.447,52.2,NA,58.71730042,66.8,70.6431215020592,3.5103004,NA,8.821,NA,"Sub-Saharan Africa","Upper middle income",2021
"Estonia",27951.1659277744,76.9439024390244,1.8,NA,90.97970174,100,70.1777274135822,7.47591066,5.21514987945557,6.178,31.8,"Europe & Central Asia","High income",2021
"Eswatini",3984.00229174306,58.228,46.2,NA,53.99530029,82.9,25.0156180525173,7.40552139,5.28714899285221,34.153,54.6,"Sub-Saharan Africa","Lower middle income",2021
"Ethiopia",893.00983544905,65.33,49.9,54.8853699463392,16.6981031,54.2,22.1067085266113,3.20779967,4.06524874309096,3.935,31.1,"Sub-Saharan Africa","Low income",2021
"Faroe Islands",69415.1853254579,82.6763219512195,NA,NA,97.5819589384468,100,38.8083763122559,NA,NA,NA,NA,"Europe & Central Asia","High income",2021
"Fiji",4536.73312110335,64.904,22.6,NA,70.56800079,92.1,57.6618364761928,7.06084681,4.8526862712935,5.225,30.7,"East Asia & Pacific","Upper middle income",2021
"Finland",53099.1351400148,81.8853658536585,1.9,NA,92.80806082,100,73.3710215780329,9.90969753,6.58820009231567,7.617,27.7,"Europe & Central Asia","High income",2021
"France",43725.0999521245,82.3243902439024,3.4,NA,86.09548575,100,78.7364603392338,12.24894238,5.41743993759155,7.871,31.5,"Europe & Central Asia","High income",2021
"French Polynesia",21426.3854449835,79.571,NA,NA,72.7038953132942,100,61.7399813226008,NA,NA,12.558,NA,"East Asia & Pacific","High income",2021
"Gabon",8181.40914134656,67.072,28.5,88.8600006103516,65.76809692,91.8,90.7881967286967,2.79254127,2.7007928993976,21.223,38,"Sub-Saharan Africa","Upper middle income",2021
"Gambia, The",781.890925169531,63.847,35.9,51.6399993896484,41.67309952,63.7,62.7550706637859,3.74321485,3.04477694635226,6.213,38.8,"Sub-Saharan Africa","Low income",2021
"Georgia",5083.60695484577,71.635,7.9,99.9180842054209,76.4427093,100,59.4293560618005,10.53835487,3.59441995620727,11.785,34.2,"Europe & Central Asia","Upper middle income",2021
"Germany",52349.2459994422,80.790243902439,3.1,NA,91.43060973,100,81.6325870653934,12.72403336,5.36734008789062,3.594,33.6,"Europe & Central Asia","High income",2021
"Ghana",2445.18662529344,64.286,30.5,76.4899978637695,68.6,86.3,56.6952556826536,3.86030865,3.4005042684722,3.2,43.5,"Sub-Saharan Africa","Lower middle income",2021
"Greece",20654.7001960815,80.0829268292683,3.4,NA,78.49426371,100,78.3884898647442,9.03178692,3.55062007904053,14.656,32.9,"Europe & Central Asia","High income",2021
"Greenland",58135.9939910203,71.2614634146342,NA,NA,69.4824617821988,100,87.5452017613678,NA,NA,NA,NA,"Europe & Central Asia","High income",2021
"Grenada",9617.28902905373,74.522,17,NA,67.02279663,93.7,36.2831603706908,5.27963448,4.09030334217367,NA,43.8,"Latin America & Caribbean","Upper middle income",2021
"Guam",38074.8793745801,75.434,NA,NA,80.5054655600831,100,94.0884327694075,NA,NA,6,NA,"East Asia & Pacific","High income",2021
"Guatemala",4912.62240414681,67.858,18.9,80.8099975585938,50.84164945,97.9,54.9047071553758,7.35698891,3.09189009666443,2.174,NA,"Latin America & Caribbean","Upper middle income",2021
"Guinea",1244.96550477914,59.373,64.4,39.6199989318848,28.61330032,46.8,36.8502178436256,3.7175858,2.04074820610586,5.815,29.6,"Sub-Saharan Africa","Lower middle income",2021
"Guinea-Bissau",926.780921081233,61.653,45.9,54.8800010681152,23.3519001,35.8,44.7334136962891,8.39794922,NA,3.016,33.4,"Sub-Saharan Africa","Low income",2021
"Guyana",9860.87014834386,64.323,25.5,85.6399993896484,71.65090179,92.9,26.443303961947,4.64326477,4.45058012008667,14.576,NA,"Latin America & Caribbean","High income",2021
"Haiti",1841.33189337222,62.613,42.5,68.0100021362305,43.37919998,47.2,53.2460637918026,3.57739854,1.24275181117048,15.296,NA,"Latin America & Caribbean","Lower middle income",2021
"Honduras",2735.14751503977,69.492,14,88.5100021362305,51.95159912,94.1,57.3550236357547,9.27311516,5.88160201792279,8.506,48.2,"Latin America & Caribbean","Lower middle income",2021
"Hong Kong SAR, China",49770.5642374739,85.5326829268293,NA,NA,93.08715788,100,100,NA,4.00030994415283,5.174,NA,"East Asia & Pacific","High income",2021
"Hungary",19030.628130329,74.0658536585366,3.3,NA,88.64083466,100,70.2059275331413,7.33524847,4.65407991409302,4.021,30.6,"Europe & Central Asia","High income",2021
"Iceland",70425.4064277273,83.1658536585366,2.1,NA,99.68701957,100,94.2108206403841,9.72073746,8.2265796661377,6.029,26.8,"Europe & Central Asia","High income",2021
"India",2239.61384367482,67.282,27,76.0596617430205,49.2580986,99.6,34.4425517181304,3.34680939,4.62949991226196,6.38,NA,"South Asia","Lower middle income",2021
"Indonesia",4287.17313995098,67.452,17,96,62.10447842,99.2,56.8761702464027,3.70634937,1.03221750658374,3.827,35.5,"East Asia & Pacific","Upper middle income",2021
"Iran, Islamic Rep.",4605.14881318992,73.752,11.4,88.4555944977134,78.5957366,100,75.9926376342773,4.85886621,3.20495009422302,9.282,35.5,"Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2021
"Iraq",4868.49431080783,70.704,22.1,84.0648941705243,65.00219727,100,69.8682708740234,5.14179993,NA,16.173,NA,"Middle East, North Africa, Afghanistan & Pakistan","Upper middle income",2021
"Ireland",103783.446284479,82.2536585365854,3.2,NA,93.50610352,100,63.6774229356985,6.44113493,2.90461993217468,6.357,29.4,"Europe & Central Asia","High income",2021
"Isle of Man",94299.969348965,80.42,NA,NA,NA,100,52.1999559660634,NA,NA,NA,NA,"Europe & Central Asia","High income",2021
"Israel",52270.9040241956,82.5,2.8,NA,90.29689758,100,91.5353517549466,7.83961058,6.16727018356323,4.812,37.9,"Middle East, North Africa, Afghanistan & Pakistan","High income",2021
